"REF_DATE","GEO","DGUID","Sex","Age group","Ailments","Frequency","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Austria","","Males","11 years","Headache","Often","Percent","239","units ","0","v664448","1.1.1.1.1","6","","","t","0"
"1990","Austria","","Males","11 years","Headache","Sometimes","Percent","239","units ","0","v664449","1.1.1.1.4","8","","","t","0"
"1990","Austria","","Males","11 years","Headache","Seldom","Percent","239","units ","0","v664450","1.1.1.1.6","30","","","t","0"
"1990","Austria","","Males","11 years","Headache","Never","Percent","239","units ","0","v664451","1.1.1.1.7","55","","","t","0"
"1990","Austria","","Males","11 years","Stomach ache","Often","Percent","239","units ","0","v665000","1.1.1.2.1","4","","","t","0"
"1990","Austria","","Males","11 years","Stomach ache","Sometimes","Percent","239","units ","0","v665001","1.1.1.2.4","4","","","t","0"
"1990","Austria","","Males","11 years","Stomach ache","Seldom","Percent","239","units ","0","v665002","1.1.1.2.6","27","","","t","0"
"1990","Austria","","Males","11 years","Stomach ache","Never","Percent","239","units ","0","v665003","1.1.1.2.7","65","","","t","0"
"1990","Austria","","Males","11 years","Backache","Often","Percent","239","units ","0","v665504","1.1.1.3.1","3","","","t","0"
"1990","Austria","","Males","11 years","Backache","Sometimes","Percent","239","units ","0","v665505","1.1.1.3.4","5","","","t","0"
"1990","Austria","","Males","11 years","Backache","Seldom","Percent","239","units ","0","v665506","1.1.1.3.6","9","","","t","0"
"1990","Austria","","Males","11 years","Backache","Never","Percent","239","units ","0","v665507","1.1.1.3.7","83","","","t","0"
"1990","Austria","","Males","11 years","Feeling low (depressed)","Often","Percent","239","units ","0","v666032","1.1.1.4.1","3","","","t","0"
"1990","Austria","","Males","11 years","Feeling low (depressed)","Sometimes","Percent","239","units ","0","v666033","1.1.1.4.4","3","","","t","0"
"1990","Austria","","Males","11 years","Feeling low (depressed)","Seldom","Percent","239","units ","0","v666034","1.1.1.4.6","13","","","t","0"
"1990","Austria","","Males","11 years","Feeling low (depressed)","Never","Percent","239","units ","0","v666035","1.1.1.4.7","81","","","t","0"
"1990","Austria","","Males","11 years","Bad temper (irritability)","Often","Percent","239","units ","0","v666560","1.1.1.5.1","11","","","t","0"
"1990","Austria","","Males","11 years","Bad temper (irritability)","Sometimes","Percent","239","units ","0","v666561","1.1.1.5.4","12","","","t","0"
"1990","Austria","","Males","11 years","Bad temper (irritability)","Seldom","Percent","239","units ","0","v666562","1.1.1.5.6","25","","","t","0"
"1990","Austria","","Males","11 years","Bad temper (irritability)","Never","Percent","239","units ","0","v666563","1.1.1.5.7","52","","","t","0"
"1990","Austria","","Males","11 years","Feeling nervous","Often","Percent","239","units ","0","v667088","1.1.1.6.1","9","","","t","0"
"1990","Austria","","Males","11 years","Feeling nervous","Sometimes","Percent","239","units ","0","v667089","1.1.1.6.4","9","","","t","0"
"1990","Austria","","Males","11 years","Feeling nervous","Seldom","Percent","239","units ","0","v667090","1.1.1.6.6","25","","","t","0"
"1990","Austria","","Males","11 years","Feeling nervous","Never","Percent","239","units ","0","v667091","1.1.1.6.7","57","","","t","0"
"1990","Austria","","Males","11 years","Difficulty getting to sleep","Often","Percent","239","units ","0","v667640","1.1.1.7.1","10","","","t","0"
"1990","Austria","","Males","11 years","Difficulty getting to sleep","Sometimes","Percent","239","units ","0","v667641","1.1.1.7.4","8","","","t","0"
"1990","Austria","","Males","11 years","Difficulty getting to sleep","Seldom","Percent","239","units ","0","v667642","1.1.1.7.6","18","","","t","0"
"1990","Austria","","Males","11 years","Difficulty getting to sleep","Never","Percent","239","units ","0","v667643","1.1.1.7.7","64","","","t","0"
"1990","Austria","","Males","11 years","Feeling dizzy","Often","Percent","239","units ","0","v668192","1.1.1.8.1","3","","","t","0"
"1990","Austria","","Males","11 years","Feeling dizzy","Sometimes","Percent","239","units ","0","v668193","1.1.1.8.4","3","","","t","0"
"1990","Austria","","Males","11 years","Feeling dizzy","Seldom","Percent","239","units ","0","v668194","1.1.1.8.6","13","","","t","0"
"1990","Austria","","Males","11 years","Feeling dizzy","Never","Percent","239","units ","0","v668195","1.1.1.8.7","82","","","t","0"
"1990","Austria","","Males","11 years","Feeling tired in the morning","4 or more times a week","Percent","239","units ","0","v668747","1.1.1.9.2","24","","","","0"
"1990","Austria","","Males","11 years","Feeling tired in the morning","1 to 3 times a week","Percent","239","units ","0","v668746","1.1.1.9.3","16","","","","0"
"1990","Austria","","Males","11 years","Feeling tired in the morning","Once in a while","Percent","239","units ","0","v668745","1.1.1.9.5","37","","","","0"
"1990","Austria","","Males","11 years","Feeling tired in the morning","Seldom/never","Percent","239","units ","0","v668744","1.1.1.9.8","22","","","","0"
"1990","Austria","","Males","13 years","Headache","Often","Percent","239","units ","0","v664632","1.1.2.1.1","5","","","t","0"
"1990","Austria","","Males","13 years","Headache","Sometimes","Percent","239","units ","0","v664633","1.1.2.1.4","8","","","t","0"
"1990","Austria","","Males","13 years","Headache","Seldom","Percent","239","units ","0","v664634","1.1.2.1.6","37","","","t","0"
"1990","Austria","","Males","13 years","Headache","Never","Percent","239","units ","0","v664635","1.1.2.1.7","50","","","t","0"
"1990","Austria","","Males","13 years","Stomach ache","Often","Percent","239","units ","0","v665168","1.1.2.2.1","3","","","t","0"
"1990","Austria","","Males","13 years","Stomach ache","Sometimes","Percent","239","units ","0","v665169","1.1.2.2.4","4","","","t","0"
"1990","Austria","","Males","13 years","Stomach ache","Seldom","Percent","239","units ","0","v665170","1.1.2.2.6","26","","","t","0"
"1990","Austria","","Males","13 years","Stomach ache","Never","Percent","239","units ","0","v665171","1.1.2.2.7","67","","","t","0"
"1990","Austria","","Males","13 years","Backache","Often","Percent","239","units ","0","v665680","1.1.2.3.1","5","","","t","0"
"1990","Austria","","Males","13 years","Backache","Sometimes","Percent","239","units ","0","v665681","1.1.2.3.4","6","","","t","0"
"1990","Austria","","Males","13 years","Backache","Seldom","Percent","239","units ","0","v665682","1.1.2.3.6","20","","","t","0"
"1990","Austria","","Males","13 years","Backache","Never","Percent","239","units ","0","v665683","1.1.2.3.7","68","","","t","0"
"1990","Austria","","Males","13 years","Feeling low (depressed)","Often","Percent","239","units ","0","v666208","1.1.2.4.1","1","","","t","0"
"1990","Austria","","Males","13 years","Feeling low (depressed)","Sometimes","Percent","239","units ","0","v666209","1.1.2.4.4","3","","","t","0"
"1990","Austria","","Males","13 years","Feeling low (depressed)","Seldom","Percent","239","units ","0","v666210","1.1.2.4.6","17","","","t","0"
"1990","Austria","","Males","13 years","Feeling low (depressed)","Never","Percent","239","units ","0","v666211","1.1.2.4.7","78","","","t","0"
"1990","Austria","","Males","13 years","Bad temper (irritability)","Often","Percent","239","units ","0","v666736","1.1.2.5.1","8","","","t","0"
"1990","Austria","","Males","13 years","Bad temper (irritability)","Sometimes","Percent","239","units ","0","v666737","1.1.2.5.4","16","","","t","0"
"1990","Austria","","Males","13 years","Bad temper (irritability)","Seldom","Percent","239","units ","0","v666738","1.1.2.5.6","38","","","t","0"
"1990","Austria","","Males","13 years","Bad temper (irritability)","Never","Percent","239","units ","0","v666739","1.1.2.5.7","38","","","t","0"
"1990","Austria","","Males","13 years","Feeling nervous","Often","Percent","239","units ","0","v667272","1.1.2.6.1","8","","","t","0"
"1990","Austria","","Males","13 years","Feeling nervous","Sometimes","Percent","239","units ","0","v667273","1.1.2.6.4","10","","","t","0"
"1990","Austria","","Males","13 years","Feeling nervous","Seldom","Percent","239","units ","0","v667274","1.1.2.6.6","29","","","t","0"
"1990","Austria","","Males","13 years","Feeling nervous","Never","Percent","239","units ","0","v667275","1.1.2.6.7","53","","","t","0"
"1990","Austria","","Males","13 years","Difficulty getting to sleep","Often","Percent","239","units ","0","v667824","1.1.2.7.1","11","","","t","0"
"1990","Austria","","Males","13 years","Difficulty getting to sleep","Sometimes","Percent","239","units ","0","v667825","1.1.2.7.4","5","","","t","0"
"1990","Austria","","Males","13 years","Difficulty getting to sleep","Seldom","Percent","239","units ","0","v667826","1.1.2.7.6","20","","","t","0"
"1990","Austria","","Males","13 years","Difficulty getting to sleep","Never","Percent","239","units ","0","v667827","1.1.2.7.7","64","","","t","0"
"1990","Austria","","Males","13 years","Feeling dizzy","Often","Percent","239","units ","0","v668376","1.1.2.8.1","4","","","t","0"
"1990","Austria","","Males","13 years","Feeling dizzy","Sometimes","Percent","239","units ","0","v668377","1.1.2.8.4","4","","","t","0"
"1990","Austria","","Males","13 years","Feeling dizzy","Seldom","Percent","239","units ","0","v668378","1.1.2.8.6","16","","","t","0"
"1990","Austria","","Males","13 years","Feeling dizzy","Never","Percent","239","units ","0","v668379","1.1.2.8.7","76","","","t","0"
"1990","Austria","","Males","13 years","Feeling tired in the morning","4 or more times a week","Percent","239","units ","0","v668923","1.1.2.9.2","27","","","","0"
"1990","Austria","","Males","13 years","Feeling tired in the morning","1 to 3 times a week","Percent","239","units ","0","v668922","1.1.2.9.3","17","","","","0"
